-START-OF-DATA-
1750	0
1751	0.003
1752	0.003
1753	0.003
1754	0.003
1755	0.003
1756	0.003
1757	0.003
1758	0.003
1759	0.003
1760	0.003
1761	0.003
1762	0.003
1763	0.003
1764	0.003
1765	0.003
1766	0.003
1767	0.003
1768	0.003
1769	0.003
1770	0.003
1771	0.004
1772	0.004
1773	0.004
1774	0.004
1775	0.004
1776	0.004
1777	0.004
1778	0.004
1779	0.004
1780	0.004
1781	0.005
1782	0.005
1783	0.005
1784	0.005
1785	0.005
1786	0.005
1787	0.005
1788	0.005
1789	0.005
1790	0.005
1791	0.006
1792	0.006
1793	0.006
1794	0.006
1795	0.006
1796	0.006
1797	0.007
1798	0.007
1799	0.007
1800	0.008
1801	0.008
1802	0.01
1803	0.009
1804	0.009
1805	0.009
1806	0.01
1807	0.01
1808	0.01
1809	0.01
1810	0.01
1811	0.011
1812	0.011
1813	0.011
1814	0.011
1815	0.012
1816	0.013
1817	0.014
1818	0.014
1819	0.014
1820	0.014
1821	0.014
1822	0.015
1823	0.016
1824	0.016
1825	0.017
1826	0.017
1827	0.018
1828	0.018
1829	0.018
1830	0.024
1831	0.023
1832	0.023
1833	0.024
1834	0.024
1835	0.025
1836	0.029
1837	0.029
1838	0.03
1839	0.031
1840	0.033
1841	0.034
1842	0.036
1843	0.037
1844	0.039
1845	0.043
1846	0.043
1847	0.046
1848	0.047
1849	0.05
1850	0.054
1851	0.054
1852	0.057
1853	0.059
1854	0.069
1855	0.071
1856	0.076
1857	0.077
1858	0.078
1859	0.083
1860	0.091
1861	0.095
1862	0.097
1863	0.104
1864	0.112
1865	0.119
1866	0.122
1867	0.13
1868	0.135
1869	0.142
1870	0.147
1871	0.156
1872	0.173
1873	0.184
1874	0.174
1875	0.188
1876	0.191
1877	0.194
1878	0.196
1879	0.21
1880	0.236
1881	0.243
1882	0.256
1883	0.272
1884	0.275
1885	0.277
1886	0.281
1887	0.295
1888	0.327
1889	0.327
1890	0.356
1891	0.372
1892	0.374
1893	0.37
1894	0.383
1895	0.406
1896	0.419
1897	0.44
1898	0.465
1899	0.507
1990	7.558
1991	7.603
1992	7.648
1993	7.694
1994	7.740
1995	7.787
1996	7.832
1997	7.878
1998	7.923
1999	7.970
2000	8.016
2001	8.209
2002	8.407
2003	8.610
2004	8.818
2005	9.031
2006	9.173
2007	9.318
2008	9.465
2009	9.614
2010	9.765
2011	10.008
2012	10.257
2013	10.481
2014	10.710
2015	10.582
2016	10.61679069
2017	10.65187905
2018	10.68708338
2019	10.72240406
2020	10.75784147
2021	10.61227421
2022	10.46867667
2023	10.32702218
2024	10.18728446
2025	10.04943757
2026	9.913455919
2027	9.779314274
2028	9.646987736
2029	9.516451743
2030	9.387682069
2031	9.137386535
2032	8.893764412
2033	8.656637772
2034	8.425833431
2035	8.201182825
2036	7.98252188
2037	7.7696909
2038	7.562534446
2039	7.360901223
2040	7.16464397
2041	6.891189149
2042	6.62817135
2043	6.375192218
2044	6.131868607
2045	5.897831991
2046	5.672727911
2047	5.456215437
2048	5.247966651
2049	5.047666149
2050	4.855010569
2051	4.602411953
2052	4.362955648
2053	4.13595788
2054	3.920770452
2055	3.71677889
2056	3.52340069
2057	3.340083655
2058	3.16630432
2059	3.001566452
2060	2.845399638
2061	2.612167162
2062	2.398052348
2063	2.201488155
2064	2.021035987
2065	1.855375171
2066	1.703293284
2067	1.563677287
2068	1.43550537
2069	1.317839483
2070	1.209818466
2071	1.000051666
2072	0.790284866
2073	0.580518066
2074	0.370751266
2075	0.160984466
2076	-0.048782333
2077	-0.258549133
2078	-0.468315933
2079	-0.678082733
2080	-0.887849533
2081	-0.975071618
2082	-1.070862376
2083	-1.176063591
2084	-1.291599743
2085	-1.418486134
2086	-1.557837808
2087	-1.710879351
2088	-1.878955651
2089	-2.063543719
2090	-2.266265666
2091	-2.272475118
2092	-2.278701582
2093	-2.284945107
2094	-2.291205739
2095	-2.297483525
2096	-2.303778512
2097	-2.310090746
2098	-2.316420276
2099	-2.322767148
2100	-2.329131411
2101	-2.329131411
2102	-2.329131411
2103	-2.329131411
2104	-2.329131411
2105	-2.329131411
2106	-2.329131411
2107	-2.329131411
2108	-2.329131411
2109	-2.329131411
2110	-2.329131411
2111	-2.329131411
2112	-2.329131411
2113	-2.329131411
2114	-2.329131411
2115	-2.329131411
2116	-2.329131411
2117	-2.329131411
2118	-2.329131411
2119	-2.329131411
2120	-2.329131411
2121	-2.329131411
2122	-2.329131411
2123	-2.329131411
2124	-2.329131411
2125	-2.329131411
2126	-2.329131411
2127	-2.329131411
2128	-2.329131411
2129	-2.329131411
2130	-2.329131411
2131	-2.329131411
2132	-2.329131411
2133	-2.329131411
2134	-2.329131411
2135	-2.329131411
2136	-2.329131411
2137	-2.329131411
2138	-2.329131411
2139	-2.329131411
2140	-2.329131411
2141	-2.329131411
2142	-2.329131411
2143	-2.329131411
2144	-2.329131411
2145	-2.329131411
2146	-2.329131411
2147	-2.329131411
2148	-2.329131411
2149	-2.329131411
2150	-2.329131411
2151	-2.329131411
2152	-2.329131411
2153	-2.329131411
2154	-2.329131411
2155	-2.329131411
2156	-2.329131411
2157	-2.329131411
2158	-2.329131411
2159	-2.329131411
2160	-2.329131411
2161	-2.329131411
2162	-2.329131411
2163	-2.329131411
2164	-2.329131411
2165	-2.329131411
2166	-2.329131411
2167	-2.329131411
2168	-2.329131411
2169	-2.329131411
2170	-2.329131411
2171	-2.329131411
2172	-2.329131411
2173	-2.329131411
2174	-2.329131411
